vocab_size,target_vocab_size,train_words,test_words,avg_tokens_per_word_train,avg_tokens_per_word_test,compression_ratio,train_time_ms,tokenization_time_ms,memory_bytes_est
5094,8000,4500,500,1.990888888888889,2.884,0.12330557707203718,49860.07409000024,7967.510858000256,1688666
5094,16000,4500,500,1.990888888888889,2.884,0.12330557707203718,49860.07409000024,8119.03664300032,1688666
5094,32000,4500,500,1.990888888888889,2.884,0.12330557707203718,49860.07409000024,8193.286309999414,1688666
5094,64000,4500,500,1.990888888888889,2.884,0.12330557707203718,49860.07409000024,8026.077116999775,1688666
5094,128000,4500,500,1.990888888888889,2.884,0.12330557707203718,49860.07409000024,8154.01928300038,1688666
5094,256000,4500,500,1.990888888888889,2.884,0.12330557707203718,49860.07409000024,8058.301843000576,1688666
