noise,clean_avg_tokens_per_word,noisy_avg_tokens_per_word,token_length_increase,token_drift,vocab_inflation,ppl_clean,ppl_noisy,ppl_delta,clean_vocab_size,noisy_vocab_size
spelling,2.0802,3.8066,1.7264,0.9488,0.6321986178653698,2065.6211971693456,7233.648957532611,5168.027760363266,3907,2470
ocr,2.0802,2.9312,0.851,0.4908,0.7901202969029947,2065.6211971693456,3072.8154841133323,1007.1942869439868,3907,3087
translit,2.0802,5.165,3.0848,0.8374,0.5556693114921935,2065.6211971693456,3001295.4149969765,2999229.7937998073,3907,2171
