vocab_size,target_vocab_size,train_words,test_words,avg_tokens_per_word_train,avg_tokens_per_word_test,oov_rate_train,oov_rate_test,compression_ratio,train_time_ms,tokenization_time_ms,memory_bytes_est
8000,8000,18000,2000,2.352388888888889,2.725,0,0.0005,0.0472964184787107,815472.6078620004,61810.62423499953,213332
16000,16000,18000,2000,1.9092222222222222,2.6755,0,0.0005,0.0945928369574214,815472.6078620004,120410.138301,576796
32000,32000,18000,2000,1.0224444444444445,2.564,0,0.0005,0.1891856739148428,815472.6078620004,205840.35726800002,1299992
32405,64000,18000,2000,1,2.557,0,0.0005,0.19158005510032752,815472.6078620004,236992.22067600023,1317726
32405,128000,18000,2000,1,2.557,0,0.0005,0.19158005510032752,815472.6078620004,262300.7792069996,1317726
32405,256000,18000,2000,1,2.557,0,0.0005,0.19158005510032752,815472.6078620004,253991.55742300022,1317726
